YP_006867372	408491003	NC_018721	Psychroflexus torquis ATCC 700755| Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Psychroflexus.	P700755_001781	complement(1899271..1900521)	"esterase_lipase superfamily protein"
YP_006211466	386738285	NC_017729	Bacillus anthracis str. H9401| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	H9401_4412	complement(4190682..4191341)	"TPR domain-containing protein"
YP_292454	72383099	NC_007335	Prochlorococcus marinus str. NATL2A| Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	PMN2A_1261	1767984..1768541	"TPR repeat-containing protein"
YP_007137445	428299139	NC_019751	Calothrix sp. PCC 6303| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal6303_2480	complement(2941167..2942909)	"peptidase C14 caspase catalytic subunit p20"
YP_008135307	514411807	NC_021577	Pseudomonas aeruginosa RP73| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	M062_24575	5299722..5301494	"hypothetical protein"
YP_002120999	195952709	NC_011126	Hydrogenobaculum sp. Y04AAS1| Bacteria; Aquificae; Aquificales; Aquificaceae; Hydrogenobaculum.	HY04AAS1_0331	complement(288253..289302)	"hypothetical protein"
YP_007076827	427730590	NC_019684	Nostoc sp. PCC 7524| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc.	Nos7524_3437	complement(4200165..4200749)	"DnaJ-class molecular chaperone with C-terminal Zn finger domain"
YP_007905380	482906820	NC_021151	Salmonella enterica subsp. enterica serovar Typhimurium str. U288| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	STU288_21495	4516930..4517550	"formate-dependent nitrite reductase complex subunit NrfG"
YP_008937426	568145952	NC_023065	Magnetospirillum gryphiswaldense MSR-1 v2| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Magnetospirillum.	MGMSR_1551	1591557..1595186	"conserved protein of unknown function, containing TPR repeat domain"
YP_002977879	241206783	NC_012850	Rhizobium leguminosarum bv. trifolii WSM1325| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	Rleg_4099	complement(4172142..4173116)	"thioredoxin"
YP_008150712	521463699	NC_021658	Sorangium cellulosum So0157-2| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae; Polyangiaceae; Sorangium.	SCE1572_21510	6074573..6077425	"hypothetical protein"
YP_005755507	387780709	NC_017349	Staphylococcus aureus subsp. aureus LGA251| Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	SARLGA251_15230	complement(1676182..1676850)	"hypothetical protein"
YP_004386875	330823572	NC_015422	Alicycliphilus denitrificans K601| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Alicycliphilus.	Alide2_0948	complement(990144..991925)	"hypothetical protein"
YP_008712364	554636720	NC_022600	Gloeobacter kilaueensis JS1| Bacteria; Cyanobacteria; Gloeobacteria; Gloeobacterales; Gloeobacter.	GKIL_2411	2545480..2546166	"lipoprotein NlpI"
YP_001767893	170739238	NC_010511	Methylobacterium sp. 4-46| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	M446_0910	complement(1024788..1026449)	"peptidase C14 caspase catalytic subunit p20"
YP_004041998	313203341	NC_014734	Paludibacter propionicigenes WB4| Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Paludibacter.	Palpr_0861	complement(1041238..1043226)	"ompa/motb domain-containing protein"
YP_008589797	545641046	NC_022444	Desulfovibrio gigas DSM 1382 = ATCC 19364| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	DGI_0725	793190..794203	"putative Tetratricopeptide TPR_1 repeat-containing protein"
YP_005837378	385800974	NC_017455	Halanaerobium praevalens DSM 2228| Bacteria; Firmicutes; Clostridia; Halanaerobiales; Halanaerobiaceae; Halanaerobium.	Hprae_2099	complement(2299009..2299560)	"hypothetical protein"
YP_006422973	390959216	NC_018014	Terriglobus roseus DSM 18391| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	Terro_3423	4102651..4104747	"hypothetical protein"
YP_007100354	434389920			
YP_007158030	440683235	NC_019771	Anabaena cylindrica PCC 7122| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	Anacy_3737	complement(4268272..4270650)	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_007121695	428310718	NC_019738	Microcoleus sp. PCC 7113| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Microcoleus.	Mic7113_2488	2857197..2858843	"hypothetical protein"
YP_003776159	300312067	NC_014323	Herbaspirillum seropedicae SmR1| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Herbaspirillum.	Hsero_2755	3144249..3147023	"hypothetical protein"
YP_005652434	384437709	NC_017277	Synechocystis sp. PCC 6803| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	SYNGTS_2481	complement(2760931..2761770)	"hypothetical protein"
YP_004975478	375006694	NC_016587	Azospirillum lipoferum 4B| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOLI_p40521	508010..511846	"hypothetical protein"
YP_004580875	336173737	NC_015638	Lacinutrix sp. 5H-3-7-4| Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Lacinutrix.	Lacal_2606	complement(2897806..2899044)	"hypothetical protein"
YP_001236781	148252196	NC_009485	Bradyrhizobium sp. BTAi1| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	BBta_0602	605458..607911	"hypothetical protein"
YP_005973722	386057200	NC_017548	Pseudomonas aeruginosa M18| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	PAM18_1133	1235805..1236563	"type 4 fimbrial biogenesis protein PilF"
YP_001020720	124266716	NC_008825	Methylibium petroleiphilum PM1| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Methylibium.	Mpe_A1523	1643073..1643681	"Tfp pilus assembly protein PilF-like protein"
YP_007149061	434406176	NC_019757	Cylindrospermum stagnale PCC 7417| Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Cylindrospermum.	Cylst_4285	complement(4852687..4853793)	"tetratricopeptide repeat protein"
YP_007266981	433633354	NC_019952	Mycobacterium canettii CIPT 140070017| Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex.	BN45_10373	complement(403853..406351)	"Putative transcriptional regulatory protein"
YP_005626692	384417332	NC_017267	Xanthomonas oryzae pv. oryzicola BLS256| Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas.	XOC_0286	283674..285761	"hypothetical protein"
YP_568777	91976118	NC_007958	Rhodopseudomonas palustris BisB5| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas.	RPD_1639	complement(1838455..1840776)	"hypothetical protein"
YP_008528788	541870508	NC_022270	Vibrio campbellii ATCC BAA-1116| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	M892_21150	complement(724287..725954)	"chemotaxis protein CheY"
YP_003798158	302037836	NC_014355	Candidatus Nitrospira defluvii| Bacteria; Nitrospirae; Nitrospirales; Nitrospiraceae; Nitrospira.	NIDE2523	complement(2465211..2466914)	"hypothetical protein"
YP_004782852	344198526	NC_015942	Acidithiobacillus ferrivorans SS3| Bacteria; Proteobacteria; Gammaproteobacteria; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus.	Acife_0297	complement(311228..312097)	"thioredoxin"
YP_003346542	281412463	NC_013642	Thermotoga naphthophila RKU-10| Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga.	Tnap_1041	complement(1079477..1081093)	"hypothetical protein"
YP_007364688	442324667	NC_020126	Myxococcus stipitatus DSM 14675| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	MYSTI_07732	complement(9867942..9869609)	"beta-lactamase"
YP_002866022	229604256	NC_012659	Bacillus anthracis str. A0248| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	BAA_1609	1455456..1456718	"TPR domain protein"
YP_464512	86157727	NC_007760	Anaeromyxobacter dehalogenans 2CP-C| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	Adeh_1301	1506220..1506972	"hypothetical protein"
YP_911431	119356787	NC_008639	Chlorobium phaeobacteroides DSM 266| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium/Pelodictyon group; Chlorobium.	Cpha266_0959	1101651..1102250	"hypothetical protein"
YP_003370703	283779948	NC_013720	Pirellula staleyi DSM 6068| Bacteria; Planctomycetes; Planctomycetia; Planctomycetales; Planctomycetaceae; Pirellula.	Psta_2170	complement(2802331..2803647)	"hypothetical protein"
YP_004627829	337288357	NC_015682	Thermodesulfobacterium geofontis OPF15| Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium.	TOPB45_0800	complement(785284..786552)	"peptidase M48 Ste24p"
YP_006250937	387785841	NC_017768	Streptococcus mutans LJ23| Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	SMULJ23_0660	702593..703825	"hypothetical protein"
YP_004863179	347755615	NC_016024	Candidatus Chloracidobacterium thermophilum B| Bacteria; Acidobacteria; Candidatus Chloracidobacterium.	Cabther_A1917	2278858..2280852	"hypothetical protein"
YP_004385568	330509140	NC_015416	Methanosaeta concilii GP6| Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosaetaceae; Methanosaeta.	MCON_3535	2991983..2992864	"TPR-repeat-containing protein"
YP_007115689	428317807	NC_019729	Oscillatoria nigro-viridis PCC 7112| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Oscillatoria.	Osc7112_2873	complement(3352868..3355186)	"Tetratricopeptide TPR_2 repeat-containing protein"
YP_004871889	348029203	NC_016041	Glaciecola nitratireducens FR1064| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola.	GNIT_1783	1970341..1971513	"hypothetical protein"
YP_503827	88603649	NC_007796	Methanospirillum hungatei JF-1| Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanospirillaceae; Methanospirillum.	Mhun_2406	2653674..2654984	"tetratricopeptide TPR_2"
YP_002135263	197123312	NC_011145	Anaeromyxobacter sp. K| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	AnaeK_2910	complement(3259535..3260308)	"hypothetical protein"
YP_001831234	182677088	NC_010581	Beijerinckia indica subsp. indica ATCC 9039| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Beijerinckia.	Bind_0086	97256..98179	"hypothetical protein"
YP_004974003	374998504	NC_016585	Azospirillum lipoferum 4B| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum.	AZOLI_p10592	complement(588619..589524)	"hypothetical protein"
YP_846562	116749875	NC_008554	Syntrophobacter fumaroxidans MPOB| Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophobacteraceae; Syntrophobacter.	Sfum_2447	complement(3026259..3027215)	"hypothetical protein"
YP_003198206	258405464	NC_013223	Desulfohalobium retbaense DSM 5692| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfohalobiaceae; Desulfohalobium.	Dret_1340	complement(1567493..1568602)	"hypothetical protein"
YP_001953578	189426401	NC_010814	Geobacter lovleyi SZ| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Geobacteraceae; Geobacter.	Glov_3352	complement(3586806..3588020)	"hypothetical protein"
YP_004669572	338536238	NC_015711	Myxococcus fulvus HW-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	LILAB_33065	complement(8142287..8143540)	"hypothetical protein"
YP_003912413	308048847	NC_014541	Ferrimonas balearica DSM 9799| Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Ferrimonadaceae; Ferrimonas.	Fbal_1130	complement(1247257..1249227)	"sulfotransferase"
YP_001130921	145220212	NC_009337	Chlorobium phaeovibrioides DSM 265| Bacteria; Chlorobi; Chlorobia; Chlorobiales; Chlorobiaceae; Chlorobium/Pelodictyon group; Chlorobium.	Cvib_1408	complement(1569716..1571419)	"TPR repeat-containing protein"
YP_005023567	375266124	NC_016613	Vibrio sp. EJY3| Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	VEJY3_10545	complement(2343875..2345050)	"tetratricopeptide repeat protein"
YP_007084979	428211835	NC_019693	Oscillatoria acuminata PCC 6304| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Oscillatoria.	Oscil6304_1348	complement(1652058..1653329)	"hypothetical protein"
YP_468412	86356520	NC_007761	Rhizobium etli CFN 42| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	RHE_CH00874	complement(914137..915969)	"hypothetical protein"
NP_289739	15803705	NC_002655	Escherichia coli O157:H7 str. EDL933| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Escherichia.	Z4524	complement(4117753..4118637)	"lipoprotein NlpI"
NP_646387	21283299	NC_003923	Staphylococcus aureus subsp. aureus MW2| Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	MW1570	complement(1697556..1698224)	"hypothetical protein"
YP_007066404	427718410	NC_019682	Calothrix sp. PCC 7507| Bacteria; Cyanobacteria; Nostocales; Rivulariaceae; Calothrix.	Cal7507_3162	3621680..3622396	"hypothetical protein"
YP_004675535	338738573	NC_015717	Hyphomicrobium sp. MC1| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium.	HYPMC_1738	1634111..1636387	"hypothetical protein"
YP_008902945	608994853	NC_023035	Spirochaeta sp. L21-RPul-D2| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Spirochaeta.	L21SP2_1871	complement(1993711..1995834)	"hypothetical protein"
YP_004184775	320109185	NC_014963	Terriglobus saanensis SP1PR4| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	AciPR4_4032	4825444..4827264	"hypothetical protein"
YP_004950886	365969325	NC_016514	Enterobacter cloacae EcWSU1| Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex.	EcWSU1_01025	complement(1075922..1076776)	"protein YbbN"
YP_007512130	459288973	NC_020453	Bradyrhizobium oligotrophicum S58| Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium.	S58_25370	2867236..2869455	"O-linked N-acetylglucosamine transferase, SPINDLY family"
YP_008745411	556576341	NC_022659	Burkholderia pseudomallei NCTC 13179| Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	BBK_2861	complement(3287685..3288899)	"tetratricopeptide repeat family protein"
YP_002370583	218245212	NC_011726	Cyanothece sp. PCC 8801| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Cyanothece.	PCC8801_0329	complement(326246..327139)	"hypothetical protein"
YP_003955282	310822924	NC_014623	Stigmatella aurantiaca DW4/3-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Cystobacteraceae; Stigmatella.	STAUR_5692	complement(7027815..7028630)	"hypothetical protein"
YP_004181549	320105959	NC_014963	Terriglobus saanensis SP1PR4| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Terriglobus.	AciPR4_0722	complement(865730..867310)	"hypothetical protein"
YP_005418088	384262900	NC_017059	Rhodospirillum photometricum DSM 122| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Rhodospirillum.	RSPPHO_02492	complement(2993718..2995103)	"HemY-like protein"
YP_709497	111114879	NC_008277	Borrelia afzelii PKo| Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Borrelia; Borrelia burgdorferi group.	BAPKO_0058	complement(53282..55252)	"hypothetical protein"
YP_007069827	427722550	NC_019683	Leptolyngbya sp. PCC 7376| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Leptolyngbya.	Lepto7376_0567	638720..640201	"hypothetical protein"
YP_002490847	220915543	NC_011891	Anaeromyxobacter dehalogenans 2CP-1| Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Anaeromyxobacter.	A2cp1_0424	477822..478550	"hypothetical protein"
YP_002369205	218233420	NC_011725	Bacillus cereus B4264| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	BCB4264_A4515	complement(4371820..4372479)	"TPR domain-containing protein"
YP_005056213	374309783	NC_016631	Granulicella mallensis MP5ACTX8| Bacteria; Acidobacteria; Acidobacteriales; Acidobacteriaceae; Granulicella.	AciX8_0834	955857..956633	"hypothetical protein"
YP_001551139	159903795	NC_009976	Prochlorococcus marinus str. MIT 9211| Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	P9211_12541	1127168..1128496	"Tfp pilus assembly protein PilF"
YP_005793960	385232618	NC_017384	Ketogulonicigenium vulgare WSH-001| Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Ketogulonicigenium.	KVU_0125	complement(139125..140840)	"hypothetical protein"
YP_003807517	302342988	NC_014365	Desulfarculus baarsii DSM 2075| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfarculales; Desulfarculaceae; Desulfarculus.	Deba_1555	1733872..1734588	"response regulator receiver protein"
YP_006594271	402553000	NC_018491	Bacillus cereus FRI-35| Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group.	BCK_00780	complement(133177..134439)	"hypothetical protein"
YP_007107894	428223797	NC_019703	Geitlerinema sp. PCC 7407| Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Geitlerinema.	GEI7407_0339	complement(389303..401710)	"glycosyl transferase family protein"
YP_007129683	434394736	NC_019745	Gloeocapsa sp. PCC 7428| Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Gloeocapsa.	Glo7428_4073	complement(4540135..4541019)	"Tetratricopeptide TPR_1 repeat-containing protein"
YP_006536310	397698427	NC_018220	Pseudomonas putida DOT-T1E| Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	T1E_5695	6197622..6199343	"TPR repeat-containing protein"
YP_001013902	124024786	NC_008819	Prochlorococcus marinus str. NATL1A| Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	NATL1_00731	77837..80287	"hypothetical protein"
YP_005053051	374301412	NC_016629	Desulfovibrio africanus str. Walvis Bay| Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	Desaf_3095	3414342..3415106	"hypothetical protein"
YP_002117217	194738127	NC_011094	Salmonella enterica subsp. enterica serovar Schwarzengrund str.| CVM19633 Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	SeSA_A4535	4412622..4413242	"formate-dependent nitrite reductase complex subunit NrfG"
